target,model,finger_print_method,optimized_for,metric,metric_type,metric_value,n_samples,n_correct,n_incorrect,parameters,resampling
NR-AR,LogisticRegression,atom_pair,accuracy,pr_auc,val,0.3789319524346747,1421.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten_enn
NR-AR,LogisticRegression,atom_pair,accuracy,accuracy,train,0.781751570132589,11464.0,8962.0,2502.0,"{'C': 0.001, 'l1_ratio': 1.0}",smoten_enn
NR-AR,LogisticRegression,atom_pair,accuracy,f1_weighted,train,0.776877241998509,11464.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten_enn
NR-AR,LogisticRegression,atom_pair,accuracy,f1_macro,train,0.7766414824756998,11464.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten_enn
NR-AR,LogisticRegression,atom_pair,accuracy,roc_auc,train,0.7807340693848073,11464.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten_enn
NR-AR,LogisticRegression,atom_pair,accuracy,pr_auc,train,0.7495204720040821,11464.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten_enn
NR-AR,LogisticRegression,atom_pair,accuracy,n,train,11464.0,11464.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten_enn
NR-AR,LogisticRegression,atom_pair,accuracy,accuracy,test,0.9362186788154896,878.0,821.9999999999999,56.000000000000114,"{'C': 0.001, 'l1_ratio': 1.0}",smoten_enn
NR-AR,LogisticRegression,atom_pair,accuracy,f1_weighted,test,0.9515999054454808,878.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten_enn
NR-AR,LogisticRegression,atom_pair,accuracy,f1_macro,test,0.5168238993710692,878.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten_enn
NR-AR,LogisticRegression,atom_pair,accuracy,roc_auc,test,0.5417535728080339,878.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten_enn
NR-AR,LogisticRegression,atom_pair,accuracy,pr_auc,test,0.0207323040580443,878.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten_enn
NR-AR,LogisticRegression,atom_pair,accuracy,n,test,878.0,878.0,,,"{'C': 0.001, 'l1_ratio': 1.0}",smoten_enn
NR-AR,BernoulliNB,avalon,accuracy,selection,val,0.5932867844135828,1421.0,,,{'alpha': 0.1},none
NR-AR,BernoulliNB,avalon,accuracy,n,val,1421.0,1421.0,,,{'alpha': 0.1},none
NR-AR,BernoulliNB,avalon,accuracy,accuracy,val,0.9859254046446164,1421.0,1401.0,20.0,{'alpha': 0.1},none
NR-AR,BernoulliNB,avalon,accuracy,f1_weighted,val,0.9840245253868491,1421.0,,,{'alpha': 0.1},none
NR-AR,BernoulliNB,avalon,accuracy,f1_macro,val,0.8239942528735632,1421.0,,,{'alpha': 0.1},none
NR-AR,BernoulliNB,avalon,accuracy,roc_auc,val,0.8608908764255585,1421.0,,,{'alpha': 0.1},none
NR-AR,BernoulliNB,avalon,accuracy,pr_auc,val,0.5932867844135828,1421.0,,,{'alpha': 0.1},none
NR-AR,BernoulliNB,avalon,accuracy,accuracy,train,0.8448965977318212,5996.0,5066.0,930.0,{'alpha': 0.1},none
NR-AR,BernoulliNB,avalon,accuracy,f1_weighted,train,0.8884745697765043,5996.0,,,{'alpha': 0.1},none
NR-AR,BernoulliNB,avalon,accuracy,f1_macro,train,0.5769145325292078,5996.0,,,{'alpha': 0.1},none
NR-AR,BernoulliNB,avalon,accuracy,roc_auc,train,0.8062285757598258,5996.0,,,{'alpha': 0.1},none
NR-AR,BernoulliNB,avalon,accuracy,pr_auc,train,0.1665600418043685,5996.0,,,{'alpha': 0.1},none
NR-AR,BernoulliNB,avalon,accuracy,n,train,5996.0,5996.0,,,{'alpha': 0.1},none
NR-AR,BernoulliNB,avalon,accuracy,accuracy,test,0.8052391799544419,878.0,707.0,171.0,{'alpha': 0.1},none
NR-AR,BernoulliNB,avalon,accuracy,f1_weighted,test,0.877143036930097,878.0,,,{'alpha': 0.1},none
NR-AR,BernoulliNB,avalon,accuracy,f1_macro,test,0.4733385951065509,878.0,,,{'alpha': 0.1},none
NR-AR,BernoulliNB,avalon,accuracy,roc_auc,test,0.5649285438393201,878.0,,,{'alpha': 0.1},none
NR-AR,BernoulliNB,avalon,accuracy,pr_auc,test,0.0304710068016981,878.0,,,{'alpha': 0.1},none
